NTD ID,Agency Name,Mode,UPT,VRH,VRM,PMT,OE,Fare,Year,AC,Cost_per_VRH,Cost_per_VRM,Productivity,Subsidy_per_trip,Farebox_recovery,COVID
0R01-00311,Mountain Rides Transportation Authority,DR,548.0,181.0,1638.0,0.0,6114.0,167.0,2018,11.156934306569344,33.77900552486188,3.7326007326007327,3.027624309392265,10.852189781021897,0.027314360484134773,0
0R01-00311,Mountain Rides Transportation Authority,MB,499068.0,33615.0,547869.0,0.0,2568136.0,219564.0,2018,5.145863890291503,76.39851256879369,4.687500114078365,14.846586345381526,4.705915827101718,0.08549547220240672,0
0R01-00341,Selkirks-Pend Oreille Transit Authority (SPOT),DR,7965.0,3307.0,30582.0,0.0,94755.0,0.0,2018,11.896421845574388,28.652857574841246,3.09839121051599,2.4085273661929243,11.896421845574388,0.0,0
0R01-00341,Selkirks-Pend Oreille Transit Authority (SPOT),MB,61857.0,9106.0,136469.0,0.0,421476.0,0.0,2018,6.81371550511664,46.285526026795516,3.0884376671625056,6.792993630573249,6.81371550511664,0.0,0
0R01-00347,SMART Transit,DR,13030.0,2879.0,27732.0,0.0,183363.0,1492.0,2018,14.07237145049885,63.68982285515804,6.611964517524881,4.525877040639111,13.957866462010745,0.008136865125461516,0
0R01-00347,SMART Transit,MB,142538.0,5629.0,56367.0,0.0,407176.0,0.0,2018,2.856613674949838,72.33540593355836,7.223659233239307,25.32208207496891,2.856613674949838,0.0,0
0R01-00404,Shoshone County,DR,1784.0,882.0,21173.0,0.0,30489.0,0.0,2018,17.0902466367713,34.56802721088435,1.4399943324044775,2.0226757369614514,17.0902466367713,0.0,0
0R01-00404,Shoshone County,MB,15777.0,2424.0,51459.0,0.0,130234.0,0.0,2018,8.254674526209039,53.726897689768975,2.530830369808974,6.508663366336633,8.254674526209039,0.0,0
0R01-80188,Southern Teton Area Rapid Transit,MB,33696.0,1881.0,59367.0,0.0,272195.0,124800.0,2018,8.077961775878443,144.70760233918128,4.584954604409857,17.913875598086126,4.374258072174739,0.4584948290747442,0
0R02-00290,City of Cottage Grove,DR,7294.0,6592.0,84894.0,0.0,320663.0,25578.0,2018,43.96257197696737,48.64426577669903,3.77721629325983,1.106492718446602,40.45585412667946,0.07976598485013862,0
0R02-00290,City of Cottage Grove,MB,3771.0,1306.0,10790.0,0.0,63502.0,3559.0,2018,16.839565102094934,48.62327718223583,5.8852641334569045,2.8874425727411945,15.895783611774066,0.05604547888255488,0
0R02-00296,Tillamook County Transportation District,DR,12425.0,14803.0,327517.0,0.0,913595.0,542740.0,2018,73.52877263581489,61.71688171316625,2.7894582571286377,0.8393568871174761,29.84748490945674,0.5940706768316376,0
0R02-00296,Tillamook County Transportation District,MB,105449.0,17306.0,417209.0,0.0,1165695.0,120317.0,2018,11.054585629071873,67.35785276782619,2.794031288874401,6.09320466890096,9.913588559398383,0.10321482034322872,0
0R02-00307,Coos County Area Transit,DR,10749.0,10760.0,97499.0,0.0,490065.0,41816.0,2018,45.59168294725091,45.54507434944238,5.026359244710203,0.9989776951672863,41.70146060098614,0.08532745656188465,0
0R02-00307,Coos County Area Transit,MB,28097.0,5050.0,69699.0,0.0,134254.0,27943.0,2018,4.778232551517956,26.584950495049505,1.9261969325241395,5.563762376237624,3.7837135637256645,0.20813532557689157,0
0R02-00308,Curry County Public Transit Service District,DR,15286.0,4068.0,50430.0,0.0,169568.0,16608.0,2018,11.093026298573859,41.68338249754179,3.3624429902835615,3.757620452310718,10.00654193379563,0.09794300811473863,0
0R02-00308,Curry County Public Transit Service District,MB,14247.0,6789.0,190736.0,0.0,340397.0,42900.0,2018,23.892538780094053,50.13949035204006,1.784649987417163,2.098541758727353,20.881378535832106,0.1260293128317817,0
0R02-00310,Lincoln County Transportation Service District,DR,64367.0,6886.0,153788.0,0.0,506154.0,69454.0,2018,7.86356362732456,73.50479233226837,3.2912450906442636,9.347516700551845,6.7845324467506645,0.13721910722823488,0
0R02-00310,Lincoln County Transportation Service District,MB,249712.0,20902.0,252091.0,0.0,1049802.0,121899.0,2018,4.2040510668289865,50.22495454980385,4.164377149521403,11.94679934934456,3.715892708400077,0.11611618190858848,0
0R02-00313,Grant County Transportation District,DR,31788.0,8269.0,140836.0,0.0,309028.0,23370.0,2018,9.721530137158677,37.37187084290724,2.1942401090630237,3.8442375136050306,8.986347049200957,0.07562421528146317,0
0R02-00313,Grant County Transportation District,MB,1601.0,3343.0,84100.0,0.0,85320.0,17674.0,2018,53.29169269206746,25.521986239904276,1.0145065398335316,0.47891115764283576,42.252342286071205,0.20714955461790904,0
0R02-00319,Hood River County Transportation District,DR,14433.0,4420.0,73167.0,0.0,430722.0,14892.0,2018,29.84286011224278,97.44841628959276,5.886834228545656,3.2653846153846153,28.811057992101436,0.034574505133241396,0
0R02-00319,Hood River County Transportation District,MB,8660.0,2486.0,53046.0,0.0,249187.0,8376.0,2018,28.77448036951501,100.23612228479485,4.697564378086944,3.4835076427996783,27.80727482678984,0.033613310485699495,0
0R02-00321,Yamhill County,DR,35753.0,12430.0,144311.0,0.0,429233.0,55944.0,2018,12.00551002713059,34.532019308125506,2.9743609288273243,2.876347546259051,10.44077420076637,0.1303348065036938,0
0R02-00321,Yamhill County,MB,90131.0,8159.0,110096.0,0.0,297722.0,38798.0,2018,3.303214210427045,36.490011030763576,2.704203604127307,11.046819463169506,2.872751883369762,0.13031620101974326,0
